Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-10-13 07:54:03.877548+00:00,Graduate student,Psychology,Windows,10,I don't use version control but I know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Markdown,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,Introduction to version control; Documentation; Git branch design; Reproducible research,From mailing list,
,,2020-10-13 07:39:35.367611+00:00,Postdoc,Biological Sciences,macOS,macOS High Sierra v.10.13.6,I don't use version control but I know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Reproducible research,From friend/colleague, be able to better organize my scripts and use them more efficiently    - improve the reproducibility of my bioinformatic workflows for others and myself
,,2020-10-13 07:04:43.113249+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Markdown; README files,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Automated testing; Git branch design,From mailing list,To get a structured guidance for data processing workflow.
,,2020-10-12 23:03:28.547112+00:00,Postdoc,Earth and Related Environmental Sciences,macOS,10.15.7 MacOS Catalina,I don't use version control but I know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Git branch design; Reproducible research,From friend/colleague,To learn more about good practice of version control and documentation of my code. And to learn about Git.
,,2020-10-12 10:13:14.064134+00:00,Researcher,Earth and Related Environmental Sciences,Windows,Microsoft Windows 10 Enterprise,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing,From mailing list,"introduction to Git, better structure and quality in my programming and documentation."
,,2020-10-12 07:42:23.821613+00:00,Researcher,Chemical Sciences,Linux,Ubuntu 18.04,Git,Python; Fortran 77,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,No documentation; Comments in the source code; RST/Sphinx; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,
,,2020-10-12 07:10:31.824325+00:00,Graduate student,Physical Sciences,Linux,Mint 19.3,Git,C++; Julia,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Collaborative distributed version control; Managing complexity and modular code development; Automated testing,From friend/colleague,
,,2020-10-10 06:55:40.789291+00:00,Graduate student,Biological Sciences,Windows,Windows 10,I don't use version control but I know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Other,Other,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,
,,2020-10-09 07:51:25.322619+00:00,Postdoc,Biological Sciences,Windows,Windows 10 with Linux subsystem (ubuntu 20.04).,I don't use version control but I know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,GitHub,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,
,,2020-10-09 07:10:34.427369+00:00,Graduate student,Biological Sciences,Linux,,I don't use version control but I know what it is; Git,R; Julia,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Managing complexity and modular code development; Automated testing; Reproducible research,From mailing list,
,,2020-10-09 07:06:56.447044+00:00,Graduate student,Biological Sciences,Linux,Ubuntu 20.04,I don't use version control but I know what it is,R; Perl,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Jupyter notebooks; Git branch design; Reproducible research,From mailing list,"I hope to learn the best practice for documenting my research related scripts, and be more comfortable in using GitHub"
